CODICE_CANTIERE;DESCRIZIONE_CANTIERE;IMPORTO_LAVORI;DURATA_LAVORI;DATA_INIZIO_LAVORI;DATA_FINE_LAVORI;VERSIONE;TIPO_SORGENTE
10002/2017;;42000.00;1;2017-03-15 00:00.000000;2017-04-15 00:00.000000;0;NOP
10002/2018;;225000.00;0;2018-03-07 00:00.000000;2018-04-07 00:00.000000;0;NOP
10002/2019;;90000.00;122;2019-03-04 00:00.000000;2019-07-04 00:00.000000;0;NOP
10002/2020;;6000.00;366;2020-02-24 00:00.000000;2021-02-24 00:00.000000;0;NOP
10003/2010;;15000.00;3;2010-03-08 00:00.000000;2010-06-08 00:00.000000;0;NOP
10003/2012;;45000.00;3;2012-03-26 00:00.000000;2012-06-26 00:00.000000;0;NOP
10003/2013;;29000.00;90;2013-03-18 00:00.000000;2013-06-16 00:00.000000;0;NOP
10003/2014;;40000.00;15;2014-03-18 00:00.000000;2014-04-02 00:00.000000;0;NOP
10003/2015;;8000.00;7;2015-03-12 00:00.000000;2015-03-19 00:00.000000;0;NOP
10003/2016;;40000.00;2;2016-03-09 00:00.000000;2016-05-09 00:00.000000;0;NOP
10003/2017;;17275.00;2;2017-02-28 00:00.000000;2017-04-28 00:00.000000;0;NOP
10003/2019;;150000.00;212;2019-02-28 00:00.000000;2019-09-28 00:00.000000;0;NOP
10003/2020;;5000.00;29;2020-02-27 00:00.000000;2020-03-27 00:00.000000;0;NOP
10004/2010;;50000.00;2;2010-04-15 00:00.000000;2010-06-15 00:00.000000;0;NOP
10004/2012;;40000.00;1;2012-03-22 00:00.000000;2012-04-22 00:00.000000;0;NOP
10004/2013;;165000.00;18;2013-03-20 00:00.000000;2014-09-20 00:00.000000;0;NOP
10004/2014;;200000.00;9;2014-03-18 00:00.000000;2014-12-18 00:00.000000;0;NOP
10004/2015;;60000.00;2;2015-03-13 00:00.000000;2015-05-13 00:00.000000;0;NOP
10004/2016;;51300.00;60;2016-03-08 00:00.000000;2016-05-07 00:00.000000;0;NOP
10004/2017;;250000.00;9;2017-03-07 00:00.000000;2017-12-07 00:00.000000;0;NOP
10004/2019;;25990.00;4;2019-02-28 00:00.000000;2019-03-04 00:00.000000;0;NOP
10004/2020;;5500.00;8;2020-02-25 00:00.000000;2020-03-04 00:00.000000;0;NOP
10005/2010;;50000.00;4;2010-03-16 00:00.000000;2010-07-16 00:00.000000;0;NOP
